scene_name,left,right,contact_count,contact_ratio,mean_boundary_distance,mean_normal_difference,mean_color_difference
scene0011_00,0,14,131,2.62,0.021225676043598932,0.4442507328877922,0.024540629756871525
scene0011_00,0,147,35,0.7,0.02175478602626494,0.6859274506568909,0.032352819852530953
scene0011_00,1,2,26,0.8125,0.024331145669118717,0.7461899931614215,0.12696929618071479
scene0011_00,2,75,48,1.5,0.01886594746611081,0.6021886219580969,0.08390141255222261
scene0011_00,3,4,24,0.2823529411764706,0.03719096320370833,0.0006451581915219625,0.08290345767939773
scene0011_00,3,6,17,0.3617021276595745,0.03888018988072872,0.0013331841020023123,0.12534396007985754
scene0011_00,3,15,25,0.6756756756756757,0.039132369607687,0.002409167289733887,0.0958402550406754
scene0011_00,3,23,16,0.18823529411764706,0.038989551831036806,0.00022389739751815796,0.04498600633814931
scene0011_00,3,27,10,0.3333333333333333,0.04236892256885767,0.00029599666595458984,0.0436564396135509
scene0011_00,3,577,20,0.24096385542168675,0.039693906996399166,0.0009306758642196655,0.05675209821201861
scene0011_00,3,596,23,0.38333333333333336,0.04015485958560654,0.0546351697133935,0.054603554085706885
scene0011_00,3,611,6,0.10526315789473684,0.0373098012059927,6.254514058430989e-05,0.03942296281456947
scene0011_00,4,12,74,2.0555555555555554,0.030532045302459516,0.5523487321428351,0.07321236855853852
scene0011_00,4,13,49,0.4016393442622951,0.030920449606313998,0.3045710665839059,0.09005839556303559
scene0011_00,4,14,44,0.3308270676691729,0.034163751300763,0.11812714419581673,0.04585803735641424
scene0011_00,4,15,6,0.16216216216216217,0.03466133866459131,0.003515919049580892,0.14535463446130356
scene0011_00,4,17,112,1.302325581395349,0.029227915623258532,0.13072246738842555,0.03935529366052443
scene0011_00,4,572,47,1.205128205128205,0.035577197896039234,0.021236129263614085,0.04440371020439458
scene0011_00,4,577,47,0.5662650602409639,0.03972877078550927,0.00027816092714350277,0.04895535249144156
scene0011_00,4,584,45,0.4368932038834951,0.02872911286022928,0.5972628739145067,0.052771240721146265
scene0011_00,5,6,49,1.0425531914893618,0.029441459028392424,0.17630402652584776,0.020858189936879337
scene0011_00,5,9,39,0.65,0.029318231754960157,0.2926768232614566,0.021215931213914584
scene0011_00,5,27,39,1.3,0.03226745515488661,0.14846478364406487,0.03253571089739219
scene0011_00,6,15,36,0.972972972972973,0.03149598655808303,0.13053439888689253,0.2172435535531905
scene0011_00,6,27,20,0.6666666666666666,0.04103367915377021,0.00020767748355865479,0.02980260361218825
scene0011_00,7,8,64,1.8285714285714285,0.026424602314364165,0.39584712218493223,0.07109250412759138
scene0011_00,7,10,32,0.9142857142857143,0.02150884669390507,0.5596000123769045,0.046823084048810415
scene0011_00,7,14,8,0.22857142857142856,0.026975211687386036,0.7424079030752182,0.10054087114986032
scene0011_00,7,16,115,3.2857142857142856,0.024555356019055067,0.7512799511785092,0.09920571619320823
scene0011_00,8,9,66,1.0819672131147542,0.029549056029116564,0.1818664859641682,0.1188083398155868
scene0011_00,8,10,84,2.3333333333333335,0.026749358634420094,0.12152494348230816,0.13623078953519108
scene0011_00,8,16,50,0.6493506493506493,0.03354577803984284,0.03380336999893188,0.02311519077513367
scene0011_00,8,25,24,0.46153846153846156,0.03798069766101738,0.00199045737584432,0.02956832731918742
scene0011_00,8,29,40,0.14925373134328357,0.03803618378005922,0.005516357719898224,0.016248586412984878
scene0011_00,8,36,45,1.6071428571428572,0.03624231355885665,0.0026683449745178224,0.021572525716490216
scene0011_00,8,57,38,0.2087912087912088,0.028536711623402017,0.23360415038309598,0.1807189501429859
scene0011_00,8,102,47,1.3428571428571427,0.031941398859341094,0.08530201937289948,0.05632859163303325
scene0011_00,8,122,28,0.4444444444444444,0.0334874678270093,0.05012104979583195,0.0589205555152148
scene0011_00,8,132,35,0.4268292682926829,0.03267817252448627,0.053883673463548935,0.12083065545718585
scene0011_00,8,138,6,0.14634146341463414,0.03236225030074517,0.2846938570340474,0.3896537125110626
scene0011_00,8,193,107,1.202247191011236,0.03546521398369397,0.02532172091653414,0.10707928480310627
scene0011_00,8,197,62,0.8493150684931506,0.033343582083621336,0.08895703573380748,0.06801018894710127
scene0011_00,9,10,33,0.9166666666666666,0.02521243860775774,0.47034549713134766,0.03689757596249833
scene0011_00,9,36,36,1.2857142857142858,0.030558460236837465,0.19292164014445412,0.05567155902584394
scene0011_00,11,12,60,1.6666666666666667,0.03811430412655075,0.0007874935865402222,0.046096781947805233
scene0011_00,11,13,292,2.979591836734694,0.024100933193662907,0.3296166137881475,0.049695813860138244
scene0011_00,11,83,22,0.38596491228070173,0.022311635611748152,0.35148711096156726,0.1372437609613619
scene0011_00,11,131,30,1.0,0.03798214805622895,0.02170260945955912,0.15727901499097546
scene0011_00,11,584,11,0.11224489795918367,0.037803756750442764,0.0002367279746315696,0.04635078519244085
scene0011_00,11,688,34,0.3469387755102041,0.03795877022340017,0.0005274537731619442,0.27694810181856155
scene0011_00,12,13,17,0.4722222222222222,0.035794786670628714,0.05436532287036672,0.048412255614119416
scene0011_00,12,584,19,0.5277777777777778,0.040931804399741326,0.003372208068245336,0.027027053047755833
scene0011_00,13,14,38,0.3114754098360656,0.025811680421037108,0.1680119586618323,0.036159532438767586
scene0011_00,14,16,90,1.1688311688311688,0.029119521162162224,0.13699697653452556,0.04458885924476716
scene0011_00,14,112,15,0.5357142857142857,0.02856714278459549,0.05325777530670166,0.050075479224324225
scene0011_00,14,132,26,0.3170731707317073,0.0339826623407694,0.07903328537940979,0.07919607973263527
scene0011_00,14,147,61,1.0701754385964912,0.023017676592972436,0.3512762218225198,0.02509007512851328
scene0011_00,15,17,53,1.4324324324324325,0.025007277955564688,0.1580785906539773,0.12211701193086381
scene0011_00,16,132,24,0.3116883116883117,0.03438921563792974,0.042187986274560295,0.05729947935712213
scene0011_00,18,19,75,1.0,0.030240629501640796,0.499355103969574,0.1396456009025375
scene0011_00,18,32,52,1.0833333333333333,0.034641873807861254,0.019098401069641113,0.02721988804674206
scene0011_00,18,33,16,0.6666666666666666,0.02996471110964194,0.501213327050209,0.1473343507386744
scene0011_00,18,34,47,0.6266666666666667,0.03473643098581344,0.01774701919961483,0.022550784081141365
scene0011_00,18,37,6,0.11764705882352941,0.03597096477945646,0.685907910267512,0.22439459711313248
scene0011_00,19,24,20,0.9090909090909091,0.034134868439286946,0.010726475715637207,0.010887892288155853
scene0011_00,19,26,22,0.1456953642384106,0.030886066315526314,0.04276538437063044,0.010045142368074845
scene0011_00,19,33,57,2.375,0.037877725796741354,0.014584023701517205,0.04952586545167785
