scene_name,frame_count,observation_count,mean_masks_per_frame,mean_label_coverage,observed_edges,conflict_edges,pruned_edges,pruned_edge_ratio,reliable_observations,raw_tracks,duplicate_tracks_removed,ambiguous_superpoints_removed,output_instances,multi_view_instances,single_frame_instances,largest_instance_points
scene0019_01,10,44,4.4,0.43105845385674935,178856,6074,1150,0.0012205152697073417,31,8,1,1,7,5,2,41103
scene0084_01,10,51,5.1,0.2943726246046322,59277,2420,460,0.0007050716107514225,20,5,1,1,4,4,0,6768
scene0084_02,10,66,6.6,0.3411891165442302,82974,2880,262,0.0004574773094746694,44,7,1,0,6,6,0,23098
scene0100_00,10,98,9.8,0.4538495752984389,64069,5928,403,0.0013357064495066503,42,6,0,0,6,5,1,15171
scene0146_01,10,74,7.4,0.3318326892664014,77149,4094,429,0.0012378916022472493,46,6,0,0,6,5,1,12004
scene0169_01,10,70,7.0,0.3687369273543516,98547,6309,1154,0.0008817291059236304,17,7,1,1,5,3,2,18046
scene0207_01,10,68,6.8,0.5955855110447914,166179,14967,2910,0.0018983093304839123,48,10,3,0,7,5,2,44419
scene0217_00,10,38,3.8,0.48780369987756356,123968,4631,657,0.0009144317370445065,31,6,1,1,4,3,1,26607
scene0256_02,10,65,6.5,0.36646236672278343,160082,5836,554,0.001059542866541587,34,12,4,0,8,7,1,12922
scene0277_00,10,67,6.7,0.6324461470768289,87233,4106,431,0.0009543167888900698,42,8,2,0,6,5,1,11488
scene0277_01,10,14,1.4,0.40947479848994994,65328,1329,267,0.0005640908629956394,7,2,0,0,2,2,0,11630
scene0300_01,10,73,7.3,0.514398084379145,108463,13241,460,0.0004669586173152316,34,4,0,0,3,3,0,35915
scene0307_02,10,85,8.5,0.36030140419344964,146264,3995,1354,0.0005857607362069353,52,14,3,0,10,9,1,7208
scene0329_02,10,40,4.0,0.5031285870064279,264789,5459,340,0.00016352694924123495,30,4,0,0,4,4,0,31329
scene0338_01,10,47,4.7,0.35453022969594933,95095,3115,66,0.00013542128330132466,25,7,1,0,5,5,0,13020
scene0353_02,10,80,8.0,0.3190991352923171,82330,8569,586,0.000545558308173413,46,9,2,0,7,6,1,14413
scene0355_01,10,72,7.2,0.39899244975002557,206665,8804,480,0.0012384380200472155,56,8,1,1,6,6,0,29004
scene0357_00,10,93,9.3,0.5209666902611978,271171,8494,1003,0.001286392202129024,69,13,1,3,11,9,2,18958
scene0377_00,10,49,4.9,0.18099962695133148,132654,10823,562,0.000901889796127972,29,7,1,0,6,6,0,24410
scene0389_00,10,66,6.6,0.21377522064075097,79194,4459,650,0.000558525766941805,39,6,0,0,6,5,1,30734
scene0412_01,10,36,3.6,0.16337873686358534,139746,8895,4477,0.005993860209309829,22,13,7,0,5,3,2,22695
scene0426_02,10,51,5.1,0.6193570011988573,101198,3456,245,0.00034502474320301257,30,10,0,1,10,6,4,13586
scene0430_00,10,88,8.8,0.41879934126619733,236151,14701,717,0.000599895081111337,62,8,1,0,7,4,3,57778
scene0458_00,10,82,8.2,0.6381609657177838,79742,13662,1363,0.0036952690795716415,66,6,0,0,6,6,0,10305
scene0474_00,10,80,8.0,0.7383058807774716,112842,10264,1520,0.0014603322832391324,64,10,2,3,6,5,1,27508
scene0474_04,9,51,5.666666666666667,0.6541535940210182,114777,2826,1608,0.0015658275661605966,38,11,4,2,6,6,0,13779
scene0496_00,6,30,5.0,0.32700266554433227,201075,5858,763,0.0007016246795331575,10,4,1,0,3,2,1,48516
