best_gt_class,best_gt_instance_id,best_gt_point_count,best_iou,candidate_id,coverage,error_type,matched_points,overlap_gt_count_10pct,point_count,precision,scene_name,source_track_ids,superpoint_count,support_score,valid_gt_point_fraction,visual_path
door,5018,7265,0.3003545313538666,0,0.3731589814177564,partial_overlap,2711,1,4472,0.606216457960644,scene0019_01,[24],19,139.4359176120531,0.606216457960644,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_quality_guard_s01_sp40_smoke3_20260720/scene0019_01/visuals/candidate0000_partial_overlap.png
,-1,0,0.0,1,0.0,background_or_non_instance,0,0,4048,0.0,scene0019_01,[10],18,106.59268874909962,0.0,
door,5018,7265,0.25014442518775276,2,0.4768066070199587,partial_overlap,3464,1,10047,0.3447795361799542,scene0019_01,[21],21,105.67007274390748,0.3447795361799542,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_quality_guard_s01_sp40_smoke3_20260720/scene0019_01/visuals/candidate0002_partial_overlap.png
door,5018,7265,0.017710095882684716,3,0.02161046111493462,weak_or_wrong_geometry,157,0,1757,0.08935685828116106,scene0019_01,[13],16,97.98914428697357,0.09391007398975526,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_quality_guard_s01_sp40_smoke3_20260720/scene0019_01/visuals/candidate0003_weak_or_wrong_geometry.png
armchair,23022,2209,0.38966539601863615,4,0.8329560887279311,mixed_multiple_instances,1840,2,4353,0.42269699058120835,scene0019_01,[11],15,78.72366235896367,0.8849069607167471,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_quality_guard_s01_sp40_smoke3_20260720/scene0019_01/visuals/candidate0004_mixed_multiple_instances.png
couch,6010,4907,0.510744043268528,5,0.7120440187487264,mixed_multiple_instances,3494,2,5428,0.6436993367722919,scene0019_01,[25],14,75.62892918324344,0.7942151805453206,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_quality_guard_s01_sp40_smoke3_20260720/scene0019_01/visuals/candidate0005_mixed_multiple_instances.png
,-1,0,0.0,6,0.0,background_or_non_instance,0,0,794,0.0,scene0019_01,[16],8,64.08351351351351,0.0,
,-1,0,0.0,7,0.0,background_or_non_instance,0,0,707,0.0,scene0019_01,[15],8,47.160328601968175,0.0,
,-1,0,0.0,8,0.0,background_or_non_instance,0,0,398,0.0,scene0019_01,"[0, 8]",5,43.45199769260318,0.0,
door,5018,7265,0.004873551106427819,9,0.005092911218169305,weak_or_wrong_geometry,37,1,364,0.10164835164835165,scene0019_01,[27],6,43.376628935303415,0.10164835164835165,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_quality_guard_s01_sp40_smoke3_20260720/scene0019_01/visuals/candidate0009_weak_or_wrong_geometry.png
,-1,0,0.0,10,0.0,background_or_non_instance,0,0,203,0.0,scene0019_01,[20],4,19.263940448103742,0.0,
,-1,0,0.0,11,0.0,background_or_non_instance,0,0,6179,0.0,scene0019_01,[22],5,19.070077698446486,0.0,
armchair,23004,4367,0.04437541601952518,12,0.04579803068468056,weak_or_wrong_geometry,200,1,340,0.5882352941176471,scene0019_01,[3],6,16.32275365315688,0.5882352941176471,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_quality_guard_s01_sp40_smoke3_20260720/scene0019_01/visuals/candidate0012_weak_or_wrong_geometry.png
,-1,0,0.0,13,0.0,background_or_non_instance,0,0,410,0.0,scene0019_01,[30],3,14.438375094854411,0.0,
,-1,0,0.0,14,0.0,background_or_non_instance,0,0,1202,0.0,scene0019_01,[28],2,13.415750499532896,0.0,
,-1,0,0.0,15,0.0,background_or_non_instance,0,0,176,0.0,scene0019_01,[9],2,6.893116735613754,0.0,
