best_gt_class,best_gt_instance_id,best_gt_point_count,best_iou,candidate_id,coverage,error_type,matched_points,overlap_gt_count_10pct,point_count,precision,scene_name,source_track_ids,superpoint_count,support_score,valid_gt_point_fraction,visual_path
door,5018,7265,0.004448048756512337,0,0.024913971094287682,weak_or_wrong_geometry,181,0,33608,0.005385622470840276,scene0019_01,"[7, 14, 23]",113,1849.0955660321727,0.006189002618424185,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_smoke3_20260720/scene0019_01/visuals/candidate0000_weak_or_wrong_geometry.png
door,5018,7265,0.31165521825836473,1,0.38719889883000685,partial_overlap,2813,1,4574,0.614997813729777,scene0019_01,[24],21,139.4359176120531,0.614997813729777,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_smoke3_20260720/scene0019_01/visuals/candidate0001_partial_overlap.png
,-1,0,0.0,2,0.0,background_or_non_instance,0,0,9824,0.0,scene0019_01,[1],44,126.88749246972175,0.0,
,-1,0,0.0,3,0.0,background_or_non_instance,0,0,4048,0.0,scene0019_01,[10],18,106.59268874909962,0.0,
door,5018,7265,0.25014442518775276,4,0.4768066070199587,partial_overlap,3464,1,10047,0.3447795361799542,scene0019_01,[21],21,105.67007274390748,0.3447795361799542,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_smoke3_20260720/scene0019_01/visuals/candidate0004_partial_overlap.png
door,5018,7265,0.0170503909643788,5,0.02161046111493462,weak_or_wrong_geometry,157,0,2100,0.07476190476190477,scene0019_01,[13],23,97.98914428697357,0.10142857142857142,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_smoke3_20260720/scene0019_01/visuals/candidate0005_weak_or_wrong_geometry.png
armchair,23022,2209,0.38966539601863615,6,0.8329560887279311,mixed_multiple_instances,1840,2,4353,0.42269699058120835,scene0019_01,[11],15,78.72366235896367,0.8849069607167471,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_smoke3_20260720/scene0019_01/visuals/candidate0006_mixed_multiple_instances.png
couch,6010,4907,0.510744043268528,7,0.7120440187487264,mixed_multiple_instances,3494,2,5428,0.6436993367722919,scene0019_01,[25],14,75.62892918324344,0.7942151805453206,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_smoke3_20260720/scene0019_01/visuals/candidate0007_mixed_multiple_instances.png
couch,6010,4907,0.0005412719891745603,8,0.0024454860403505196,weak_or_wrong_geometry,12,0,17275,0.0006946454413892909,scene0019_01,[19],18,68.45063208631706,0.0018523878437047758,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_smoke3_20260720/scene0019_01/visuals/candidate0008_weak_or_wrong_geometry.png
,-1,0,0.0,9,0.0,background_or_non_instance,0,0,822,0.0,scene0019_01,[16],9,64.08351351351351,0.0,
lamp,28020,835,0.022264631043257,10,0.041916167664670656,weak_or_wrong_geometry,35,0,772,0.04533678756476684,scene0019_01,[15],10,47.160328601968175,0.04533678756476684,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_smoke3_20260720/scene0019_01/visuals/candidate0010_weak_or_wrong_geometry.png
,-1,0,0.0,11,0.0,background_or_non_instance,0,0,398,0.0,scene0019_01,"[0, 8]",5,43.45199769260318,0.0,
door,5018,7265,0.00484420005236973,12,0.005092911218169305,weak_or_wrong_geometry,37,0,410,0.09024390243902439,scene0019_01,[27],7,43.376628935303415,0.09024390243902439,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_smoke3_20260720/scene0019_01/visuals/candidate0012_weak_or_wrong_geometry.png
,-1,0,0.0,13,0.0,background_or_non_instance,0,0,227,0.0,scene0019_01,[20],5,19.263940448103742,0.0,
,-1,0,0.0,14,0.0,background_or_non_instance,0,0,6179,0.0,scene0019_01,[22],5,19.070077698446486,0.0,
armchair,23004,4367,0.04437541601952518,15,0.04579803068468056,weak_or_wrong_geometry,200,1,340,0.5882352941176471,scene0019_01,[3],6,16.32275365315688,0.5882352941176471,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_smoke3_20260720/scene0019_01/visuals/candidate0015_weak_or_wrong_geometry.png
,-1,0,0.0,16,0.0,background_or_non_instance,0,0,410,0.0,scene0019_01,[30],3,14.438375094854411,0.0,
,-1,0,0.0,17,0.0,background_or_non_instance,0,0,1202,0.0,scene0019_01,[28],2,13.415750499532896,0.0,
door,5019,4491,0.010783450704225352,18,0.010910710309507904,weak_or_wrong_geometry,49,1,102,0.4803921568627451,scene0019_01,[6],2,7.935947712418301,0.4803921568627451,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_smoke3_20260720/scene0019_01/visuals/candidate0018_weak_or_wrong_geometry.png
door,5019,4491,0.00021249468763280918,19,0.00022266755733689602,weak_or_wrong_geometry,1,0,216,0.004629629629629629,scene0019_01,[9],3,6.893116735613754,0.004629629629629629,docs/diagnostics/sam2_details_gt_diagnostic_v3_merged_round123_smoke3_20260720/scene0019_01/visuals/candidate0019_weak_or_wrong_geometry.png
