best_gt_class,best_gt_instance_id,best_gt_point_count,best_iou,candidate_id,coverage,error_type,matched_points,overlap_gt_count_10pct,point_count,precision,scene_name,source_track_ids,superpoint_count,support_score,valid_gt_point_fraction,visual_path
door,5018,7265,0.0004471646963472234,7,0.0022023399862353753,weak_or_wrong_geometry,16,0,28532,0.0005607738679377541,scene0019_01,[7],0,522.3773331935602,0.001507079770082714,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0007_weak_or_wrong_geometry.png
door,5018,7265,0.011488650605765214,2,0.022711631108052306,weak_or_wrong_geometry,165,0,7262,0.022721013494904983,scene0019_01,[2],0,146.0155817335946,0.022721013494904983,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0002_weak_or_wrong_geometry.png
door,5019,4491,6.888950124001103e-05,1,0.00022266755733689602,weak_or_wrong_geometry,1,0,10026,9.974067424695791e-05,scene0019_01,[1],0,133.94947835353054,9.974067424695791e-05,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0001_weak_or_wrong_geometry.png
,-1,0,0.0,0,0.0,background_or_non_instance,0,0,398,0.0,scene0019_01,[0],0,21.72599884630159,0.0,
armchair,23004,4367,0.04437541601952518,3,0.04579803068468056,weak_or_wrong_geometry,200,1,340,0.5882352941176471,scene0019_01,[3],0,16.32275365315688,0.5882352941176471,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0003_weak_or_wrong_geometry.png
door,5019,4491,0.010783450704225352,6,0.010910710309507904,weak_or_wrong_geometry,49,1,102,0.4803921568627451,scene0019_01,[6],0,7.935947712418301,0.4803921568627451,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0006_weak_or_wrong_geometry.png
door,5018,7265,0.0042282804214264025,14,0.024913971094287682,weak_or_wrong_geometry,181,0,35723,0.005066763709654845,scene0019_01,[6],0,667.9101233065722,0.005822579290653081,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0014_weak_or_wrong_geometry.png
,-1,0,0.0,10,0.0,background_or_non_instance,0,0,4048,0.0,scene0019_01,[2],0,106.59268874909962,0.0,
door,5018,7265,0.0170503909643788,13,0.02161046111493462,weak_or_wrong_geometry,157,0,2100,0.07476190476190477,scene0019_01,[5],0,97.98914428697357,0.10142857142857142,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0013_weak_or_wrong_geometry.png
armchair,23022,2209,0.38966539601863615,11,0.8329560887279311,mixed_multiple_instances,1840,2,4353,0.42269699058120835,scene0019_01,[3],0,78.72366235896367,0.8849069607167471,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0011_mixed_multiple_instances.png
lamp,28020,835,0.019444444444444445,15,0.041916167664670656,weak_or_wrong_geometry,35,0,1000,0.035,scene0019_01,[7],0,49.999620705859826,0.035,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0015_weak_or_wrong_geometry.png
,-1,0,0.0,8,0.0,background_or_non_instance,0,0,398,0.0,scene0019_01,[0],0,21.72599884630159,0.0,
door,5019,4491,0.00021249468763280918,9,0.00022266755733689602,weak_or_wrong_geometry,1,0,216,0.004629629629629629,scene0019_01,[1],0,6.893116735613754,0.004629629629629629,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0009_weak_or_wrong_geometry.png
