best_candidate_id,best_coverage,best_iou,best_precision,candidate_count_iou25,candidate_count_iou50,class_name,gt_instance_id,point_count,scene_name,semantic_id,status
1,0.48792270531400966,0.01592306479583793,0.01619368286034953,0,0,door,5012,207,scene0146_01,5,missed
7,0.13109756097560976,0.13109756097560976,1.0,0,0,sink,14002,1968,scene0146_01,14,missed
0,0.5910765452312731,0.58272800645682,0.9763353617308993,1,1,toilet,17005,2443,scene0146_01,17,covered
-1,0.0,0.0,0.0,0,0,backpack,48013,1317,scene0146_01,48,missed
-1,0.0,0.0,0.0,0,0,toilet paper,49019,127,scene0146_01,49,missed
2,0.8617283950617284,0.8258400378608614,0.9519912711402073,1,1,trash can,56001,4050,scene0146_01,56,covered
-1,0.0,0.0,0.0,0,0,mirror,71008,600,scene0146_01,71,missed
-1,0.0,0.0,0.0,0,0,rail,95004,355,scene0146_01,95,missed
6,0.9123630672926447,0.7417302798982188,0.7986301369863014,1,1,rail,95017,639,scene0146_01,95,covered
-1,0.0,0.0,0.0,0,0,soap dispenser,100006,269,scene0146_01,100,missed
4,0.014925373134328358,0.0008880206020779682,0.0009433072351664937,0,0,object,1163016,670,scene0146_01,1163,missed
