scene_name,gt_instance_id,gt_class,gt_point_count,baseline_best_iou,sam2_best_iou,sam2_best_candidate_id,gt_superpoint_count,reliable_superpoint_count,sampled_seed_count,failure_stage
scene0019_01,2009,chair,2226,0.4958371877890842,0.0,-1,22,0,0,无可靠超点
scene0019_01,5018,door,7265,0.10107296137339056,0.3003545313538666,0,34,18,2,已采样但轨迹或三维提升未恢复
scene0019_01,23004,armchair,4367,0.0,0.2993592609149158,4,33,26,2,已采样但轨迹或三维提升未恢复
scene0019_01,23005,armchair,1403,0.34244569196973396,0.0,-1,11,0,0,无可靠超点
scene0019_01,23006,armchair,1017,0.38742857142857146,0.0,-1,7,1,1,已采样但轨迹或三维提升未恢复
scene0019_01,23007,armchair,2121,0.2659028727770178,0.0,-1,19,0,0,无可靠超点
scene0019_01,23008,armchair,1394,0.258435438265787,0.0,-1,9,1,1,已采样但轨迹或三维提升未恢复
scene0019_01,23022,armchair,2209,0.0,0.38966539601863615,4,16,10,1,已采样但轨迹或三维提升未恢复
scene0084_01,49017,toilet paper,101,0.0,0.0,-1,1,1,1,已采样但轨迹或三维提升未恢复
scene0084_01,55005,shower curtain,4015,0.04697781178270849,0.0,-1,33,0,0,无可靠超点
scene0084_01,71024,mirror,299,0.2129032258064516,0.1632987438558165,9,2,1,1,已采样但轨迹或三维提升未恢复
scene0084_01,128030,shower wall,18601,0.005134653672849209,0.0,-1,68,5,2,已采样但轨迹或三维提升未恢复
scene0084_01,1163015,object,101,0.0,0.45539906103286387,12,2,2,2,已采样但轨迹或三维提升未恢复
scene0084_01,1163019,object,223,0.0,0.8260869565217391,2,4,2,2,sam2_已覆盖
scene0084_01,1163031,object,154,0.0,0.0,-1,2,0,0,无可靠超点
scene0084_01,1179034,shower head,317,0.0,0.0,-1,8,0,0,无可靠超点
scene0084_02,14024,sink,1157,0.28396694214876034,0.3228582117471006,2,9,6,3,已采样但轨迹或三维提升未恢复
scene0084_02,115043,toilet paper holder,203,0.13120567375886524,0.0,-1,4,0,0,无可靠超点
scene0084_02,1163028,object,167,0.0,0.696969696969697,13,5,5,2,sam2_已覆盖
scene0084_02,1163037,object,156,0.0,0.0,-1,1,0,0,无可靠超点
scene0100_00,31030,towel,457,0.3380177514792899,0.0,-1,5,0,0,无可靠超点
scene0100_00,130020,cup,239,0.31629392971246006,0.14321608040201006,6,6,5,3,已采样但轨迹或三维提升未恢复
scene0169_01,2027,chair,3115,0.47006755182855814,0.0013602357742008614,10,33,29,0,有可靠超点但未采样
scene0169_01,16013,window,3340,0.07588878760255241,0.516887665749312,4,31,10,2,sam2_已覆盖
scene0207_01,7013,cabinet,4715,0.33022269353128314,0.0,-1,37,0,0,无可靠超点
scene0207_01,14011,sink,812,0.2849122807017544,0.0,-1,9,0,0,无可靠超点
scene0207_01,16027,window,2838,0.4522735161402291,0.22242990654205608,6,21,10,3,已采样但轨迹或三维提升未恢复
scene0207_01,32018,clothes,3062,0.36185598071708347,0.09867784585617542,12,46,22,1,已采样但轨迹或三维提升未恢复
scene0207_01,32055,clothes,898,0.13217544892552252,0.0007686395080707148,19,6,1,1,已采样但轨迹或三维提升未恢复
scene0207_01,48032,backpack,950,0.4487482286254133,0.03105095541401274,12,10,6,0,有可靠超点但未采样
scene0207_01,65037,bottle,118,0.07989167230873392,0.0,-1,2,0,0,无可靠超点
scene0207_01,71046,mirror,524,0.20419847328244276,0.0,-1,8,0,0,无可靠超点
scene0207_01,77060,laptop,409,0.4505050505050505,0.032953549517966696,0,6,6,1,已采样但轨迹或三维提升未恢复
scene0207_01,562030,bowl,325,0.18888888888888888,0.0001721763085399449,0,7,6,0,有可靠超点但未采样
scene0256_02,15023,picture,215,0.3023255813953488,0.2934027777777778,8,5,3,1,已采样但轨迹或三维提升未恢复
scene0256_02,21004,curtain,3054,0.46955441150363925,0.18434839554682383,2,22,16,3,已采样但轨迹或三维提升未恢复
scene0256_02,21005,curtain,2821,0.3792216698097034,0.0,-1,29,1,1,已采样但轨迹或三维提升未恢复
scene0256_02,28021,lamp,858,0.49184149184149184,0.39076576576576577,4,6,6,3,已采样但轨迹或三维提升未恢复
scene0256_02,32007,clothes,933,0.31414141414141417,0.0,-1,8,3,0,有可靠超点但未采样
scene0256_02,67017,ottoman,785,0.3447518664909969,0.0,-1,6,2,0,有可靠超点但未采样
scene0256_02,71008,mirror,2348,0.11022244438890277,0.0,-1,25,0,0,无可靠超点
scene0256_02,122003,ladder,765,0.15353982300884955,0.39950372208436724,1,14,7,2,已采样但轨迹或三维提升未恢复
scene0277_01,107003,pipe,766,0.0,0.0,-1,5,3,1,已采样但轨迹或三维提升未恢复
scene0300_01,16010,window,22536,0.4824747742963356,0.5936723464678736,12,92,5,3,sam2_已覆盖
scene0300_01,18002,bookshelf,10580,0.3581333748831412,0.185407483822564,9,79,50,3,已采样但轨迹或三维提升未恢复
scene0300_01,18003,bookshelf,23704,0.40040867957575166,0.18737872268623976,0,179,90,7,已采样但轨迹或三维提升未恢复
scene0307_02,2015,chair,1475,0.4036348267117498,0.0,-1,15,11,0,有可靠超点但未采样
scene0307_02,4014,table,1719,0.3587406793703397,0.15281812899477049,17,31,23,1,已采样但轨迹或三维提升未恢复
scene0307_02,5011,door,13908,0.2811650207528267,0.006947847896906622,4,99,27,4,已采样但轨迹或三维提升未恢复
scene0307_02,5031,door,1379,0.2784178187403994,0.0,-1,15,4,0,有可靠超点但未采样
scene0307_02,14017,sink,433,0.41594022415940224,0.0,-1,8,5,0,有可靠超点但未采样
scene0307_02,16016,window,2162,0.3391621829362029,0.18948734587929916,15,17,0,0,无可靠超点
scene0307_02,16040,window,1764,0.07633087633087633,0.08601234830743028,15,20,1,0,有可靠超点但未采样
scene0307_02,27002,refrigerator,3775,0.25149700598802394,0.6666666666666666,10,20,10,1,sam2_已覆盖
scene0307_02,41025,ceiling,13831,0.21040109908521262,0.0,-1,46,13,0,有可靠超点但未采样
scene0307_02,78010,shower,14925,0.22525963149078726,0.0001316829075585989,17,97,49,1,已采样但轨迹或三维提升未恢复
scene0307_02,96033,radiator,6259,0.1535070455797843,0.17453733248245054,9,78,7,3,已采样但轨迹或三维提升未恢复
scene0307_02,161035,doorframe,2287,0.1657550140891762,0.016736401673640166,14,18,11,1,已采样但轨迹或三维提升未恢复
scene0307_02,325020,broom,980,0.35816326530612247,0.0,-1,13,1,0,有可靠超点但未采样
scene0329_02,4013,table,117,0.028725754971765282,0.0,-1,1,0,0,无可靠超点
scene0329_02,5062,door,3997,0.36896615498427965,0.0,-1,34,0,0,无可靠超点
scene0329_02,15004,picture,693,0.05854355069014755,0.0,-1,10,0,0,无可靠超点
scene0329_02,15045,picture,564,0.3078602620087336,0.0,-1,3,0,0,无可靠超点
scene0329_02,15047,picture,500,0.27292576419213976,0.0,-1,2,0,0,无可靠超点
scene0329_02,15049,picture,764,0.19963031423290203,0.0,-1,12,0,0,无可靠超点
scene0329_02,28014,lamp,515,0.41359223300970877,0.0,-1,4,1,0,有可靠超点但未采样
scene0329_02,65053,bottle,164,0.0,0.0,-1,2,0,0,无可靠超点
scene0329_02,75061,file cabinet,1274,0.41365777080062793,0.0,-1,11,1,1,已采样但轨迹或三维提升未恢复
scene0329_02,161063,doorframe,1398,0.17605371130175307,0.12116429949149571,1,18,3,3,已采样但轨迹或三维提升未恢复
scene0329_02,1163054,object,287,0.0,0.0,-1,4,0,0,无可靠超点
scene0329_02,1163055,object,133,0.0,0.0,-1,2,0,0,无可靠超点
scene0353_02,5015,door,3495,0.36046890263757736,5.916809656233359e-05,5,31,1,1,已采样但轨迹或三维提升未恢复
scene0353_02,8026,shelf,3487,0.42160278745644597,0.0,-1,38,0,0,无可靠超点
scene0353_02,11008,bed,11715,0.4347638868953639,0.0,-1,86,0,0,无可靠超点
scene0353_02,11014,bed,14937,0.33495592685173003,0.00021172983273343214,5,115,2,1,已采样但轨迹或三维提升未恢复
scene0353_02,16031,window,1070,0.4670449585333915,0.0,-1,4,0,0,无可靠超点
scene0353_02,22023,book,278,0.07503373819163293,0.0,-1,5,0,0,无可靠超点
scene0353_02,22035,book,434,0.0,0.0,-1,5,0,0,无可靠超点
scene0353_02,32046,clothes,1831,0.36164329448943316,0.0,-1,17,2,0,有可靠超点但未采样
scene0353_02,47053,bag,545,0.10764368951214695,0.0,-1,5,0,0,无可靠超点
scene0353_02,63027,shoe,430,0.17365710080941868,0.0,-1,6,0,0,无可靠超点
scene0353_02,77020,laptop,516,0.058159939834544996,0.0,-1,4,0,0,无可靠超点
scene0353_02,88037,plate,163,0.03717217787913341,0.0,-1,1,0,0,无可靠超点
scene0353_02,562051,bowl,238,0.0,0.0,-1,3,0,0,无可靠超点
scene0353_02,562052,bowl,191,0.35239852398523985,0.0,-1,5,0,0,无可靠超点
scene0353_02,1187039,calendar,267,0.0,0.5608695652173913,6,3,3,1,sam2_已覆盖
scene0357_00,5015,door,463,0.26411865373645177,0.0,-1,9,0,0,无可靠超点
scene0357_00,8028,shelf,6502,0.0,0.0,-1,70,0,0,无可靠超点
scene0357_00,16018,window,496,0.14583945898265216,0.0,-1,6,5,1,已采样但轨迹或三维提升未恢复
scene0357_00,26001,box,343,0.039014373716632446,0.0,-1,4,4,1,已采样但轨迹或三维提升未恢复
scene0357_00,26002,box,289,0.35503685503685506,0.0,-1,3,3,0,有可靠超点但未采样
scene0357_00,41009,ceiling,1011,0.06706640017765934,0.0,-1,3,0,0,无可靠超点
scene0357_00,63020,shoe,416,0.0,0.837708830548926,15,4,3,2,sam2_已覆盖
scene0357_00,63021,shoe,153,0.391304347826087,0.0009180628873077806,19,3,2,1,已采样但轨迹或三维提升未恢复
scene0357_00,63023,shoe,239,0.38118022328548645,0.0032414910858995136,7,4,3,0,有可靠超点但未采样
scene0357_00,107019,pipe,1777,0.2759548144163529,0.07366189719130896,10,20,18,2,已采样但轨迹或三维提升未恢复
scene0377_00,31022,towel,332,0.4630404463040446,0.0,-1,6,5,0,有可靠超点但未采样
scene0377_00,102010,bucket,638,0.26987951807228916,0.0,-1,8,1,0,有可靠超点但未采样
scene0377_00,185001,tray,319,0.35444444444444445,0.0,-1,9,0,0,无可靠超点
scene0389_00,5013,door,2237,0.2006053154260853,0.0,-1,27,1,1,已采样但轨迹或三维提升未恢复
scene0412_01,4012,table,1888,0.4492753623188406,0.0004901960784313725,16,24,2,2,已采样但轨迹或三维提升未恢复
scene0412_01,14018,sink,1770,0.47497249724972496,0.009620670698185816,1,18,13,0,有可靠超点但未采样
scene0412_01,26022,box,1701,0.4327143220554566,0.0,-1,16,1,0,有可靠超点但未采样
scene0412_01,35019,counter,2081,0.25558751936269086,0.08260869565217391,1,17,10,0,有可靠超点但未采样
scene0426_02,15036,picture,605,0.0,0.0,-1,3,0,0,无可靠超点
