class_name,delta_ap,delta_ap50,delta_ap25
bathroom vanity,-0.25626968861390775,-0.2575,-0.25781249999999994
shower wall,-0.13021212327763412,-0.13218390804597702,-0.13291139240506333
toilet paper,-0.0892599159443131,-0.0685579196217494,-0.0688405797101449
toilet,-0.0850794758556856,-0.08640552995391704,-0.08690476190476193
nightstand,-0.08415633204848899,-0.0975163398692811,-0.09807256235827666
tv,-0.056983745990671464,-0.07366071428571436,-0.074367088607595
backpack,-0.05658339192070877,-0.07981418918918914,-0.083029197080292
dumbbell,-0.05653021442495127,-0.2543859649122807,-0.2640602322206096
mirror,-0.05262157510955276,-0.06132075471698112,-0.0642361111111111
armchair,-0.04244288597918028,-0.04264214046822734,-0.04287226534932953
towel,-0.039841524582053034,-0.045509708737864085,-0.04624781849912735
pillow,-0.036453525100587136,-0.047709923664122134,-0.024746906636670563
office chair,-0.035548254108076216,-0.03588290840415487,-0.036027944111776455
kitchen cabinet,-0.02735761461344327,-0.029264214046822723,-0.032033401903699354
box,-0.021411106981766542,-0.032725241995532395,-0.03303666294103849
shelf,-0.01943549792108218,-0.02014652014652024,-0.020868347338935556
table,-0.014817904877844845,-0.017104072398190062,-0.017495744278418712
book,-0.00482981340197608,-0.011153452923134105,-0.012136399371069195
window,-0.0048130584219900074,-0.01448922440034095,-0.015630956919557792
bed,-0.0001982225223502443,-0.0003936531007752153,-0.00045518207282913004
vacuum cleaner,-0.00018313962857696708,-0.00019561815336466282,-0.00021949078138727707
door,-0.00015561318777740363,-0.00022101827084369807,-0.0003300627119152688
bucket,-5.780036427760482e-05,-6.105006105006083e-05,-7.171543316120133e-05
clothes,-3.9014471153037134e-05,-0.00010405220923648262,-0.000173490631505957
cup,-2.667026596991917e-05,-2.8011204481787066e-05,-3.3361134278570015e-05
trash bin,-1.88149703774787e-05,0.0,0.0
case of water bottles,-8.57338820298148e-06,-7.716049382711088e-05,-8.544087491457741e-05
counter,1.3809584394008922e-05,2.0113709504387955e-05,4.0038436899481056e-05
shower curtain,0.00011388452703847696,0.00015926102882624082,0.0002917833800186731
